document ID,concept,type_of_org,type_of_concept,category,idea
39,C_Regulation_Permitting issues,JPA,C,Regulation,Permitting issues
39,S_Complexity_Climate service enterprise,JPA,S,Science,Climate service enterprise
39,C_Organizations_Jurisdictional overlap,JPA,C,Institutions,Jurisdictional overlap
39,S_Local govts_governance must include local stakeholders,JPA,S,Local communities,Include local stakeholders
39,C_Organizations_mission,JPA,C,Institutions,Statutory mission
39,C_Complexity_Uncertainty,JPA,C,Science,Uncertainty
39,C_Regulation_Permitting issues,JPA,C,Regulation,Permitting issues
39,S_Local govts_governance must include local stakeholders,JPA,S,Local communities,Include local stakeholders
39,S_Regulation_Integrated permitting,JPA,S,Regulation,Integrated permitting
39,C_Regulation_Permitting issues,JPA,C,Regulation,Permitting issues
39,C_Organizations_mission,JPA,C,Institutions,Statutory mission
39,C_Organizations_mission,JPA,C,Institutions,Statutory mission
39,C_Resources_There won't be federal money,JPA,C,Funding/Resources,Who pays?
39,C_Private sector_no support,JPA,C,Funding/Resources,Who pays?
39,C_Resources_Lack staff resources,JPA,C,Funding/Resources,Lack staff resources
39,C_Resources_Who pays?,JPA,C,Funding/Resources,Who pays?
13,C_People_loss of property value,County government,C,Local communities,NYMBYsm
39,C_Regulation_Permitting issues,JPA,C,Regulation,Permitting issues
39,C_Organizations_mission,JPA,C,Institutions,Statutory mission
39,S_Complexity_orgs share risk,JPA,S,Science,Orgs should share risk
39,C_Organizations_Jurisdictional fragmentation,JPA,C,Institutions,Jurisdictional fragmentation
39,C_Local govts_control issues,JPA,C,Local communities,Local control
39,S_Regulation_Integrated permitting,JPA,S,Regulation,Integrated permitting
39,S_Regulation_Integrated permitting,JPA,S,Regulation,Integrated permitting
39,S_Planning_Regional plan_priority list based on risk,JPA,S,Planning,Regional plan_priority list based on risk
20,C_Regulation_Permitting issues,State Agency,C,Regulation,Permitting issues
20,S_Regulation_Integrated permitting,State Agency,S,Regulation,Integrated permitting
20,C_Organizations_Competition for leadership,State Agency,C,Institutions,Competition for leadership
20,S_Resources_Lobby for federal program,State Agency,S,Funding/Resources,Lobby for federal program
20,S_Resources_Lobby for federal program,State Agency,S,Funding/Resources,Lobby for federal program
20,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
20,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
20,S_Leadership_Existing entity/entities,State Agency,S,Leadership,Empower existing entities
20,S_Regulation_Integrated permitting,State Agency,S,Regulation,Integrated permitting
20,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
20,C_People_SLR too far off in future,State Agency,C,Local communities,SLR too far off in future
20,C_Organizations_Competition for leadership,State Agency,C,Institutions,Competition for leadership
24,S_Leadership_Individuals matter,State Agency,S,Leadership,Individuals matter
4,C_Organizations_Competition for same money,State Agency,C,Institutions,Competition for same money
4,C_Resources_Lack staff resources,State Agency,C,Funding/Resources,Lack staff resources
4,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
4,C_Political leadership_Legislation_inadequate,State Agency,C,Leadership,Inadequate legislation
31,C_People_SLR too far off in future,Env NGO,C,Local communities,SLR too far off in future
1,C_People_SLR too far off in future,Local entity,C,Local communities,SLR too far off in future
11,C_People_SLR too far off in future,County Agency,C,Local communities,SLR too far off in future
36,C_People_SLR too far off in future,Private sector NGO,C,Local communities,SLR too far off in future
39,C_People_SLR too far off in future,JPA,C,Local communities,SLR too far off in future
4,C_People_SLR too far off in future,State Agency,C,Local communities,SLR too far off in future
6,C_People_SLR too far off in future,Regional Agency,C,Local communities,SLR too far off in future
20,C_Organizations_Jurisdictional overlap,State Agency,C,Institutions,Jurisdictional overlap
2,C_People_Behavioral change,County Agency,C,Local communities,SLR too far off in future
37,C_Resources_Lack staff resources,Env NGO,C,Funding/Resources,Lack staff resources
2,C_Complexity_Vulnerability interdependence,County Agency,C,Science,Vulnerability interdependence
2,C_People_Behavioral change,County Agency,C,Local communities,SLR too far off in future
2,C_Organizations_Jurisdictional fragmentation,County Agency,C,Institutions,Jurisdictional fragmentation
2,C_Organizations_Jurisdictional fragmentation,County Agency,C,Institutions,Jurisdictional fragmentation
2,C_Organizations_mission,County Agency,C,Institutions,Statutory mission
2,S_People_Community engagement,County Agency,S,Local communities,Engage communities
2,C_Political leadership_Need disaster to spur action,County Agency,C,Leadership,Need disaster to spur action
2,C_People_SLR too far off in future,County Agency,C,Local communities,SLR too far off in future
2,C_Organizations_Competing priorities,County Agency,C,Institutions,Competing priorities
2,C_Political leadership_lack vision,County Agency,C,Leadership,Lack of vision
2,S_Local govts_Local communities need pratical info on SLR,County Agency,S,Local communities,Local communities need pratical info on SLR
2,C_Organizations_Competition for same money,County Agency,C,Institutions,Competition for same money
2,C_Political leadership_Need disaster to spur action,County Agency,C,Leadership,Need disaster to spur action
3,C_Organizations_Jurisdictional fragmentation,Local gov,C,Institutions,Jurisdictional fragmentation
27,C_People_SLR too far off in future,County government,C,Local communities,SLR too far off in future
27,C_Complexity_Vulnerability interdependence,County government,C,Science,Vulnerability interdependence
27,C_People_SLR too far off in future,County government,C,Local communities,SLR too far off in future
27,S_Local govts_governance must include local stakeholders,County government,S,Local communities,Include local stakeholders
27,C_Resources_Lack staff resources,County government,C,Funding/Resources,Lack staff resources
27,S_Collaborative governance_apply for funding jointly,County government,S,Institutions,Joint funding applications
3,C_Organizations_Jurisdictional fragmentation,Local gov,C,Institutions,Jurisdictional fragmentation
27,C_Organizations_Jurisdictional fragmentation,County government,C,Institutions,Jurisdictional fragmentation
27,C_Local govts_control issues,County government,C,Local communities,Local control
27,S_Resources_Public private partnerships,County government,S,Funding/Resources,Public private partnerships
27,S_Resources_Integrate funding sources,County government,S,Funding/Resources,Integrate funding sources
27,S_Resources_Public private partnerships,County government,S,Funding/Resources,Public private partnerships
27,C_Private sector_no support,County government,C,Funding/Resources,Who pays?
27,C_Political leadership_Need disaster to spur action,County government,C,Leadership,Need disaster to spur action
27,C_People_Community engagement,County government,C,Local communities,Community engagement
27,C_Collaborative governance_All talk no action,County government,C,Institutions,All talk no action
27,S_Political leadership_create legi requirements,County government,S,Leadership,Create legislative requirements
27,C_Complexity_Information_overload,County government,C,Science,Information overload
27,S_Complexity_Information clearinghouse,County government,S,Science,Information clearinghouse
27,C_Resources_Lack staff resources,County government,C,Funding/Resources,Lack staff resources
28,S_People_Community engagement,Env NGO,S,Local communities,Engage communities
28,C_Regulation_Sediment management,Env NGO,C,Regulation,Sediment management
28,S_Complexity_Climate service enterprise,Env NGO,S,Science,Climate service enterprise
28,S_Complexity_Climate service enterprise,Env NGO,S,Science,Climate service enterprise
28,S_Collaborative governance_broad participation,Env NGO,S,Institutions,Broad participation
28,C_Local govts_control issues,Env NGO,C,Local communities,Local control
28,C_Resources_Lack staff resources,Env NGO,C,Funding/Resources,Lack staff resources
28,C_Organizations_Jurisdictional fragmentation,Env NGO,C,Institutions,Jurisdictional fragmentation
28,C_Organizations_Jurisdictional fragmentation,Env NGO,C,Institutions,Jurisdictional fragmentation
28,C_Organizations_Jurisdictional fragmentation,Env NGO,C,Institutions,Jurisdictional fragmentation
28,C_Organizations_mission,Env NGO,C,Institutions,Statutory mission
28,C_Organizations_mission,Env NGO,C,Institutions,Statutory mission
28,C_People_loss of property value,Env NGO,C,Local communities,NYMBYsm
34,S_Political leadership_create legi requirements,Env NGO,S,Leadership,Create legislative requirements
27,C_Complexity_Vulnerability interdependence,County government,C,Science,Vulnerability interdependence
34,S_Resources_Ballot measure to raise money,Env NGO,S,Funding/Resources,Ballot measure to raise money
34,S_Complexity_Learning from others (USA/Abroad),Env NGO,S,Science,Learning from others (USA/Abroad)
34,C_People_Community engagement,Env NGO,C,Local communities,Community engagement
17,S_Collaborative governance_Informal collaboration,Local entity,S,Institutions,Build trust/capacity
17,S_Collaborative governance_Informal collaboration,Local entity,S,Institutions,Build trust/capacity
17,S_Collaborative governance_broad participation,Local entity,S,Institutions,Broad participation
37,S_Organizations_Formal authority to move things through,Env NGO,S,Institutions,Demand more powers
17,C_Regulation_Permitting issues,Local entity,C,Regulation,Permitting issues
17,S_Resources_Lobby for federal program,Local entity,S,Funding/Resources,Lobby for federal program
17,C_People_SLR too far off in future,Local entity,C,Local communities,SLR too far off in future
17,S_Political leadership_create legi requirements,Local entity,S,Leadership,Create legislative requirements
17,S_Complexity_Information clearinghouse,Local entity,S,Science,Information clearinghouse
17,S_Complexity_Climate service enterprise,Local entity,S,Science,Climate service enterprise
17,C_Resources_Lack staff resources,Local entity,C,Funding/Resources,Lack staff resources
17,C_Resources_Lack staff resources,Local entity,C,Funding/Resources,Lack staff resources
17,S_Resources_orgs share resources,Local entity,S,Funding/Resources,Agencies should share resources
17,S_People_Community engagement,Local entity,S,Local communities,Engage communities
17,S_Collaborative governance_needs facilitation/method,Local entity,S,Institutions,Collaboration needs facilitation
15,C_Political leadership_Time inconsistency w pol cycles,Env NGO,C,Leadership,Time inconsistency w pol cycles
15,S_Planning_Combination of approaches,Env NGO,S,Planning,Combination of approaches
15,S_Leadership_collaboration led by regional agencies,Env NGO,S,Leadership,Collaboration led by regional agencies
15,S_Organizations_Formal authority to move things through,Env NGO,S,Institutions,Demand more powers
15,C_Organizations_Jurisdictional fragmentation,Env NGO,C,Institutions,Jurisdictional fragmentation
15,C_Resources_There won't be federal money,Env NGO,C,Funding/Resources,Who pays?
15,S_Resources_Lobby for federal program,Env NGO,S,Funding/Resources,Lobby for federal program
15,C_Resources_Lack staff resources,Env NGO,C,Funding/Resources,Lack staff resources
15,C_Organizations_mission,Env NGO,C,Institutions,Statutory mission
15,C_Regulation_Sediment management,Env NGO,C,Regulation,Sediment management
15,C_Organizations_mission,Env NGO,C,Institutions,Statutory mission
12,C_Organizations_mission,Env NGO,C,Institutions,Statutory mission
12,S_Resources_Lobby for federal program,Env NGO,S,Funding/Resources,Lobby for federal program
12,C_Political leadership_Multiple issues for legi attention,Env NGO,C,Leadership,Multiple issues for legi attention
12,C_Leadership_No single voice for the Bay,Env NGO,C,Leadership,No single voice for the Bay
12,C_Organizations_mission,Env NGO,C,Institutions,Statutory mission
12,C_People_SLR too far off in future,Env NGO,C,Local communities,SLR too far off in future
12,C_Collaborative governance_All talk no action,Env NGO,C,Institutions,All talk no action
12,C_Organizations_Jurisdictional fragmentation,Env NGO,C,Institutions,Jurisdictional fragmentation
12,C_People_loss of property value,Env NGO,C,Local communities,NYMBYsm
12,C_Local govts_control issues,Env NGO,C,Local communities,Local control
12,C_Organizations_Jurisdictional overlap,Env NGO,C,Institutions,Jurisdictional overlap
12,S_Local govts_Carrot and sticks for local communities,Env NGO,S,Local communities,Carrot and sticks for local communities
12,S_Regulation_Integrated permitting,Env NGO,S,Regulation,Integrated permitting
12,C_Complexity_Vulnerability interdependence,Env NGO,C,Science,Vulnerability interdependence
12,S_Local govts_Carrot and sticks for local communities,Env NGO,S,Local communities,Carrot and sticks for local communities
12,C_Organizations_Jurisdictional fragmentation,Env NGO,C,Institutions,Jurisdictional fragmentation
12,S_Complexity_Information clearinghouse,Env NGO,S,Science,Information clearinghouse
12,C_Organizations_Jurisdictional fragmentation,Env NGO,C,Institutions,Jurisdictional fragmentation
12,S_Leadership_Individuals matter,Env NGO,S,Leadership,Individuals matter
12,S_Collaborative governance_broad participation,Env NGO,S,Institutions,Broad participation
10,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
10,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
10,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
10,C_Collaborative governance_All talk no action,State Agency,C,Institutions,All talk no action
10,S_Collaborative governance_broad participation,State Agency,S,Institutions,Broad participation
10,S_Collaborative governance_build trust/capacity,State Agency,S,Institutions,Build trust/capacity
10,C_Complexity_Vulnerability interdependence,State Agency,C,Science,Vulnerability interdependence
10,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
10,S_Regulation_Integrated permitting,State Agency,S,Regulation,Integrated permitting
10,S_Resources_Integrate funding sources,State Agency,S,Funding/Resources,Integrate funding sources
10,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
10,S_Collaborative governance_Informal collaboration,State Agency,S,Institutions,Build trust/capacity
10,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
10,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
19,S_Local govts_governance must include local stakeholders,Federal Agency,S,Local communities,Include local stakeholders
19,C_Regulation_Sediment management,Federal Agency,C,Regulation,Sediment management
19,C_Organizations_Competing priorities,Federal Agency,C,Institutions,Competing priorities
19,C_Organizations_mission,Federal Agency,C,Institutions,Statutory mission
19,C_Organizations_mission,Federal Agency,C,Institutions,Statutory mission
19,C_Complexity_Vulnerability interdependence,Federal Agency,C,Science,Vulnerability interdependence
23,C_Regulation_Permitting issues,State Agency,C,Regulation,Permitting issues
23,C_Resources_Lack staff resources,State Agency,C,Funding/Resources,Lack staff resources
23,C_Complexity_Uncertainty,State Agency,C,Science,Uncertainty
23,S_Complexity_Climate service enterprise,State Agency,S,Science,Climate service enterprise
23,C_Leadership_No single voice for the Bay,State Agency,C,Leadership,No single voice for the Bay
23,C_Leadership_No single voice for the Bay,State Agency,C,Leadership,No single voice for the Bay
23,C_Political leadership_Need disaster to spur action,State Agency,C,Leadership,Need disaster to spur action
23,C_People_SLR too far off in future,State Agency,C,Local communities,SLR too far off in future
23,S_People_Community engagement,State Agency,S,Local communities,Engage communities
23,C_Complexity_Vulnerability interdependence,State Agency,C,Science,Vulnerability interdependence
23,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
23,C_Regulation_Permitting issues,State Agency,C,Regulation,Permitting issues
23,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
23,S_Collaborative governance_build trust/capacity,State Agency,S,Institutions,Build trust/capacity
23,S_Collaborative governance_Visioning process,State Agency,S,Institutions,Visioning process
32,C_Political leadership_Need disaster to spur action,State Agency,C,Leadership,Need disaster to spur action
32,S_Local govts_Carrot and sticks for local communities,State Agency,S,Local communities,Carrot and sticks for local communities
32,C_Organizations_mission,State Agency,C,Institutions,Statutory mission
32,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
32,S_Resources_Integrate funding sources,State Agency,S,Funding/Resources,Integrate funding sources
32,S_Local govts_Local communities need pratical info on SLR,State Agency,S,Local communities,Local communities need pratical info on SLR
32,S_Collaborative governance_broad participation,State Agency,S,Institutions,Broad participation
32,C_Resources_Lack staff resources,State Agency,C,Funding/Resources,Lack staff resources
32,S_Collaborative governance_talk their language,State Agency,S,Institutions,Talk stakeholders' language
32,C_Local govts_control issues,State Agency,C,Local communities,Local control
32,C_Resources_Lack staff resources,State Agency,C,Funding/Resources,Lack staff resources
32,S_Local govts_Local communities need pratical info on SLR,State Agency,S,Local communities,Local communities need pratical info on SLR
32,C_Organizations_Competing priorities,State Agency,C,Institutions,Competing priorities
32,C_Regulation_Permitting issues,State Agency,C,Regulation,Permitting issues
32,S_Regulation_Integrated permitting,State Agency,S,Regulation,Integrated permitting
32,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
32,C_People_Community engagement,State Agency,C,Local communities,Community engagement
26,C_Complexity_Vulnerability interdependence,State Agency,C,Science,Vulnerability interdependence
26,S_Leadership_collaboration led by regional agencies,State Agency,S,Leadership,Collaboration led by regional agencies
26,S_Leadership_collaboration led by regional agencies,State Agency,S,Leadership,Collaboration led by regional agencies
26,C_Resources_Lack staff resources,State Agency,C,Funding/Resources,Lack staff resources
26,S_Leadership_Existing entity/entities,State Agency,S,Leadership,Empower existing entities
26,S_Organizations_Formal authority to move things through,State Agency,S,Institutions,Demand more powers
26,S_Resources_Integrate funding sources,State Agency,S,Funding/Resources,Integrate funding sources
26,S_Resources_Lobby for federal program,State Agency,S,Funding/Resources,Lobby for federal program
26,C_Organizations_Competition for leadership,State Agency,C,Institutions,Competition for leadership
26,C_Political leadership_lack vision,State Agency,C,Leadership,Lack of vision
26,C_Resources_Mitigation vs Adaptation,State Agency,C,Funding/Resources,Mitigation vs Adaptation
26,C_People_SLR too far off in future,State Agency,C,Local communities,SLR too far off in future
26,C_Political leadership_Multiple issues for legi attention,State Agency,C,Leadership,Multiple issues for legi attention
26,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
26,C_Political leadership_lack vision,State Agency,C,Leadership,Lack of vision
26,S_Complexity_Information clearinghouse,State Agency,S,Science,Information clearinghouse
4,S_Complexity_Information clearinghouse,State Agency,S,Science,Information clearinghouse
26,S_Collaborative governance_Visioning process,State Agency,S,Institutions,Visioning process
29,S_Resources_Lobby for federal program,Env NGO,S,Funding/Resources,Lobby for federal program
29,C_Private sector_no support,Env NGO,C,Funding/Resources,Who pays?
29,C_Organizations_Competition for leadership,Env NGO,C,Institutions,Competition for leadership
29,S_Complexity_Information clearinghouse,Env NGO,S,Science,Information clearinghouse
29,S_Leadership_Merge orgs,Env NGO,S,Leadership,Merge orgs
15,C_Collaborative governance_All talk no action,Env NGO,C,Institutions,All talk no action
15,C_Local govts_control issues,Env NGO,C,Local communities,Local control
29,C_Organizations_Jurisdictional overlap,Env NGO,C,Institutions,Jurisdictional overlap
29,C_Local govts_control issues,Env NGO,C,Local communities,Local control
29,C_Local govts_control issues,Env NGO,C,Local communities,Local control
3,C_People_SLR too far off in future,Local gov,C,Local communities,SLR too far off in future
3,S_Leadership_Individuals matter,Local gov,S,Leadership,Individuals matter
3,C_Organizations_Competing priorities,Local gov,C,Institutions,Competing priorities
3,S_Resources_Integrate funding sources,Local gov,S,Funding/Resources,Integrate funding sources
3,C_Organizations_Jurisdictional fragmentation,Local gov,C,Institutions,Jurisdictional fragmentation
3,S_Local govts_governance must include local stakeholders,Local gov,S,Local communities,Include local stakeholders
3,C_Complexity_Vulnerability interdependence,Local gov,C,Science,Vulnerability interdependence
3,C_Complexity_Vulnerability interdependence,Local gov,C,Science,Vulnerability interdependence
3,S_Local govts_governance must include local stakeholders,Local gov,S,Local communities,Include local stakeholders
3,C_Complexity_Vulnerability interdependence,Local gov,C,Science,Vulnerability interdependence
3,S_Complexity_Information clearinghouse,Local gov,S,Science,Information clearinghouse
3,C_People_Community engagement,Local gov,C,Local communities,Community engagement
3,C_Political leadership_Need disaster to spur action,Local gov,C,Leadership,Need disaster to spur action
35,C_Organizations_Conflicting goals,Regional Agency,C,Institutions,Conflicting goals
35,C_Organizations_Conflicting goals,Regional Agency,C,Institutions,Conflicting goals
35,C_Organizations_mission,Regional Agency,C,Institutions,Statutory mission
35,C_Organizations_mission,Regional Agency,C,Institutions,Statutory mission
35,S_Resources_Tap non-traditional funding pockets,Regional Agency,S,Funding/Resources,Tap non-traditional funding pockets
35,S_Resources_Tap non-traditional funding pockets,Regional Agency,S,Funding/Resources,Tap non-traditional funding pockets
35,C_Resources_Mitigation vs Adaptation,Regional Agency,C,Funding/Resources,Mitigation vs Adaptation
35,C_Resources_Who pays?,Regional Agency,C,Funding/Resources,Who pays?
35,C_Organizations_mission,Regional Agency,C,Institutions,Statutory mission
35,C_Regulation_Permitting issues,Regional Agency,C,Regulation,Permitting issues
35,C_Organizations_Jurisdictional fragmentation,Regional Agency,C,Institutions,Jurisdictional fragmentation
35,C_Complexity_Vulnerability interdependence,Regional Agency,C,Science,Vulnerability interdependence
35,S_Regulation_Monitor implementation,Regional Agency,S,Regulation,Monitor implementation
35,S_Complexity_Climate service enterprise,Regional Agency,S,Science,Climate service enterprise
26,C_People_SLR too far off in future,State Agency,C,Local communities,SLR too far off in future
35,C_Organizations_mission,Regional Agency,C,Institutions,Statutory mission
18,C_Complexity_Uncertainty,Federal Agency,C,Science,Uncertainty
18,C_Complexity_Vulnerability interdependence,Federal Agency,C,Science,Vulnerability interdependence
18,C_Resources_Who pays?,Federal Agency,C,Funding/Resources,Who pays?
18,S_Complexity_Information clearinghouse,Federal Agency,S,Science,Information clearinghouse
18,C_People_loss of property value,Federal Agency,C,Local communities,NYMBYsm
18,C_Organizations_Conflicting goals,Federal Agency,C,Institutions,Conflicting goals
18,C_Regulation_Sediment management,Federal Agency,C,Regulation,Sediment management
18,S_Planning_Combination of approaches,Federal Agency,S,Planning,Combination of approaches
18,S_Planning_Regional plan_priority list based on risk,Federal Agency,S,Planning,Regional plan_priority list based on risk
18,S_Collaborative governance_needs facilitation/method,Federal Agency,S,Institutions,Collaboration needs facilitation
18,S_Collaborative governance_needs facilitation/method,Federal Agency,S,Institutions,Collaboration needs facilitation
18,C_People_SLR too far off in future,Federal Agency,C,Local communities,SLR too far off in future
18,C_Organizations_Jurisdictional fragmentation,Federal Agency,C,Institutions,Jurisdictional fragmentation
30,C_Local govts_control issues,State Agency,C,Local communities,Local control
30,C_Regulation_Permitting issues,State Agency,C,Regulation,Permitting issues
30,C_Organizations_Conflicting goals,State Agency,C,Institutions,Conflicting goals
30,C_Complexity_Vulnerability interdependence,State Agency,C,Science,Vulnerability interdependence
30,C_Political leadership_Legislation_inadequate,State Agency,C,Leadership,Inadequate legislation
30,C_Complexity_Uncertainty,State Agency,C,Science,Uncertainty
30,S_Resources_Tap non-traditional funding pockets,State Agency,S,Funding/Resources,Tap non-traditional funding pockets
30,S_Political leadership_create legi requirements,State Agency,S,Leadership,Create legislative requirements
36,S_Resources_Integrate funding sources,Private sector NGO,S,Funding/Resources,Integrate funding sources
30,C_Private sector_no support,State Agency,C,Funding/Resources,Who pays?
30,C_Leadership_No single voice for the Bay,State Agency,C,Leadership,No single voice for the Bay
11,S_Resources_Public private partnerships,County Agency,S,Funding/Resources,Public private partnerships
36,S_Planning_Grey infrastructure,Private sector NGO,S,Planning,Grey infrastructure
35,C_Complexity_Uncertainty,Regional Agency,C,Science,Uncertainty
35,C_Organizations_mission,Regional Agency,C,Institutions,Statutory mission
35,C_Regulation_Permitting issues,Regional Agency,C,Regulation,Permitting issues
35,S_Complexity_Climate service enterprise,Regional Agency,S,Science,Climate service enterprise
35,C_Resources_Lack staff resources,Regional Agency,C,Funding/Resources,Lack staff resources
35,S_Collaborative governance_broad participation,Regional Agency,S,Institutions,Broad participation
35,C_Organizations_Jurisdictional fragmentation,Regional Agency,C,Institutions,Jurisdictional fragmentation
35,C_Organizations_mission,Regional Agency,C,Institutions,Statutory mission
35,C_Organizations_Conflicting goals,Regional Agency,C,Institutions,Conflicting goals
34,C_Organizations_Jurisdictional fragmentation,Env NGO,C,Institutions,Jurisdictional fragmentation
34,C_Resources_Lack staff resources,Env NGO,C,Funding/Resources,Lack staff resources
34,C_Organizations_mission,Env NGO,C,Institutions,Statutory mission
34,C_Complexity_Information_overload,Env NGO,C,Science,Information overload
34,C_Complexity_Information_overload,Env NGO,C,Science,Information overload
34,S_Planning_Do not build close to water,Env NGO,S,Planning,Do not build close to water
34,C_Resources_Mitigation vs Adaptation,Env NGO,C,Funding/Resources,Mitigation vs Adaptation
34,S_Planning_Green infrastructure,Env NGO,S,Planning,Green infrastructure
33,C_Regulation_Sediment management,Project,C,Regulation,Sediment management
33,S_Planning_Green infrastructure,Project,S,Planning,Green infrastructure
33,C_Regulation_Permitting issues,Project,C,Regulation,Permitting issues
33,C_Organizations_Jurisdictional fragmentation,Project,C,Institutions,Jurisdictional fragmentation
33,C_Resources_Who pays?,Project,C,Funding/Resources,Who pays?
32,C_People_Behavioral change,State Agency,C,Local communities,SLR too far off in future
32,C_Resources_Lack staff resources,State Agency,C,Funding/Resources,Lack staff resources
32,C_Political leadership_lack vision,State Agency,C,Leadership,Lack of vision
32,C_Organizations_Jurisdictional overlap,State Agency,C,Institutions,Jurisdictional overlap
32,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
32,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
32,C_Organizations_Jurisdictional overlap,State Agency,C,Institutions,Jurisdictional overlap
32,C_Organizations_Jurisdictional fragmentation,State Agency,C,Institutions,Jurisdictional fragmentation
31,C_Regulation_Sediment management,Env NGO,C,Regulation,Sediment management
30,S_Political leadership_compel orgs to work together,State Agency,S,Leadership,Compel orgs to work together
30,C_Complexity_Uncertainty,State Agency,C,Science,Uncertainty
30,S_Resources_private sector pay,State Agency,S,Funding/Resources,Make case to private sector
30,S_Leadership_collaboration led by regional agencies,State Agency,S,Leadership,Collaboration led by regional agencies
30,S_Local govts_Carrot and sticks for local communities,State Agency,S,Local communities,Carrot and sticks for local communities
30,C_Organizations_Competing priorities,State Agency,C,Institutions,Competing priorities
30,S_Resources_Lobby for federal program,State Agency,S,Funding/Resources,Lobby for federal program
30,S_Resources_Public private partnerships,State Agency,S,Funding/Resources,Public private partnerships
30,C_Political leadership_Legislation_inadequate,State Agency,C,Leadership,Inadequate legislation
30,S_Regulation_Integrated permitting,State Agency,S,Regulation,Integrated permitting
30,C_Complexity_Vulnerability interdependence,State Agency,C,Science,Vulnerability interdependence
30,S_Planning_Combination of approaches,State Agency,S,Planning,Combination of approaches
30,S_Resources_Tap non-traditional funding pockets,State Agency,S,Funding/Resources,Tap non-traditional funding pockets
29,S_Planning_Green infrastructure,Env NGO,S,Planning,Green infrastructure
29,S_Resources_Ballot measure to raise money,Env NGO,S,Funding/Resources,Ballot measure to raise money
29,S_Collaborative governance_broad participation,Env NGO,S,Institutions,Broad participation
29,S_Collaborative governance_broad participation,Env NGO,S,Institutions,Broad participation
29,S_Leadership_Individuals matter,Env NGO,S,Leadership,Individuals matter
29,C_Political leadership_Time inconsistency w pol cycles,Env NGO,C,Leadership,Time inconsistency w pol cycles
29,C_Resources_There won't be federal money,Env NGO,C,Funding/Resources,Who pays?
29,C_Resources_Mitigation vs Adaptation,Env NGO,C,Funding/Resources,Mitigation vs Adaptation
29,C_Resources_Who pays?,Env NGO,C,Funding/Resources,Who pays?
29,S_Resources_Integrate funding sources,Env NGO,S,Funding/Resources,Integrate funding sources
29,S_Resources_Tap non-traditional funding pockets,Env NGO,S,Funding/Resources,Tap non-traditional funding pockets
29,S_Planning_Pilot projects,Env NGO,S,Planning,Pilot projects
29,S_Planning_Grey infrastructure,Env NGO,S,Planning,Grey infrastructure
29,S_Planning_Green infrastructure,Env NGO,S,Planning,Green infrastructure
29,S_Leadership_collaboration led by regional agencies,Env NGO,S,Leadership,Collaboration led by regional agencies
29,S_Complexity_Information clearinghouse,Env NGO,S,Science,Information clearinghouse
29,S_Complexity_Learning from others (USA/Abroad),Env NGO,S,Science,Learning from others (USA/Abroad)
29,C_Regulation_Permitting issues,Env NGO,C,Regulation,Permitting issues
29,S_Regulation_Integrated permitting,Env NGO,S,Regulation,Integrated permitting
29,C_Private sector_no support,Env NGO,C,Funding/Resources,Who pays?
29,C_Political leadership_Time inconsistency w pol cycles,Env NGO,C,Leadership,Time inconsistency w pol cycles
29,C_Private sector_no support,Env NGO,C,Funding/Resources,Who pays?
29,S_Leadership_Existing entity/entities,Env NGO,S,Leadership,Empower existing entities
29,S_Political leadership_compel orgs to work together,Env NGO,S,Leadership,Compel orgs to work together
29,S_Political leadership_compel orgs to work together,Env NGO,S,Leadership,Compel orgs to work together
28,S_Complexity_Climate service enterprise,Env NGO,S,Science,Climate service enterprise
28,C_Resources_Mitigation vs Adaptation,Env NGO,C,Funding/Resources,Mitigation vs Adaptation
13,C_Organizations_mission,County government,C,Institutions,Statutory mission
28,S_Leadership_Individuals matter,Env NGO,S,Leadership,Individuals matter
11,C_Resources_There won't be federal money,County Agency,C,Funding/Resources,Who pays?
28,S_People_Community engagement,Env NGO,S,Local communities,Engage communities
28,S_Complexity_Information clearinghouse,Env NGO,S,Science,Information clearinghouse
28,S_Complexity_Climate service enterprise,Env NGO,S,Science,Climate service enterprise
