"class","dept","name","role","paste.bio..collapse.....n..","area","leadership","education","role_sp","envt","econ_geog","urban"
"academic-staff","Department of Geography and Environment","Dr Alan Mace","Associate Professor of Urban Planning Studies","Dr Alan Mace joined the Department in 2010. Prior to this he worked in practice as a spatial planner in London alongside teaching planning at the University of Westminster. At LSE he delivers several of the core units for the Masters programme in Regional and Urban Planning Studies (RUPS) and teaches undergraduate courses in cultural geography with a focus on London.
His research interests focus on the interface between the conventions and institutions of planning and the priorities and perspectives of local communities. While many planning conventions may seek desirable outcomes, Alan is interested in the unintended consequences and/or the unspoken trade-offs, including of densification and green belt. He has framed green belt as a policy institution to understand why it produces such strong resistance to change in order to identify a route to reconstructing the policy with a new purpose that would lead to a reappraisal of its current extent. In relation to density, he is interested in how residents perceive higher density development and in the relationship between attitudes to housing need and the acceptability of densification. His research is also focused on the question of scale in planning governance, where he has employed empirical work in London and the Greater South East to draw out lessons on the challenges presented when seeking to resolve the differing aspirations and priorities of local and regional planners and politicians. 
Alan’s other broad research interest is in change in the suburbs. This includes research on how an increase in buy-to-let housing has led to suburban gentrification. And on how changes in the ethnic mix of residents across London’s suburbs is reflected in particular neighbourhood-based constructions of White ethnic identity. His interest in suburban change sometimes interfaces with his planning research, for example by focusing on the specific challenges of developing higher density housing in existing suburbs.","Urban Planning",NA,FALSE,"Associate Professor",FALSE,FALSE,TRUE
"academic-staff","Department of Geography and Environment","Professor Michael Mason","Professor of Environmental Geography; Departmental Tutor","Michael Mason is Professor of Environmental Geography in the Department of Geography and Environment, Director of the Middle East Centre, and Associate of the Grantham Research Institute for Climate Change and the Environment. He is interested in ecological politics and governance as applied to questions of accountability, security and sovereignty. His research addresses both global environmental politics and regional environmental change in Western Asia/the Middle East. 
Alongside articles in a wide range of academic journals, he is the author of Environmental Democracy (1999) and The New Accountability: Environmental Responsibility across Borders (2005). He is also co-editor of (with Amit Mor) Renewable Energy in the Middle East (2009), (with Aarti Gupta) Transparency in Global Environmental Governance (2014), and (with Muna Dajani and Munir Fakher Eldin) The Untold Story of the Golan Heights (2022).","Environmental Geography"," Departmental Tutor",FALSE,"Professor",TRUE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Dr Tanya  Matthan","Assistant Professor in Environment","Tanya Matthan is an Assistant Professor in the Department of Geography and Environment at the London School of Economics and Political Science. Drawing on political ecology, critical agrarian studies, and the anthropology of finance, her work examines the socio-material life in risk in central India. Tanya holds a PhD in Anthropology from the University of California Los Angeles and an M.A. and MPhil in Sociology from the University of Delhi. Prior to joining LSE, she was a Ciriacy-Wantrup Postdoctoral Fellow at the University of California, Berkeley.
Selected publications","Environment",NA,FALSE,"Assistant Professor",TRUE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Professor Claire Mercer","Professor of Human Geography","Claire Mercer is a human geographer working at the intersection of human geography and African studies. Her early work developed a critique of the NGO-ization of development, and subsequent work developed postcolonial approaches to civil society and diaspora. She is currently working on new research on peripheral urbanization in African cities. She has conducted research in Tanzania, Cameroon and the UK.
Claire’s research explores the significance of property to middle class reproduction in suburban Dar es Salaam. It examines how self-build housing on the urban periphery has become central to what it means to be middle class in contemporary Tanzania. In these new neighbourhoods, the acquisition of land and the construction of houses and suburban landscapes have become vehicles for the accumulation of material and aesthetic assets, creating new spaces of inequality at the urban periphery. The book based on this research, The suburban frontier: middle class construction in Dar es Salaam will be published as a monograph with University of California Press in Autumn 2024.
Claire’s current research further explores the relationship between self-build housing, urban change and urban economies in Africa. She is Principal Investigator on the ESRC-funded research project Home-Grown Growth in African Cities: How Self-Build Housing Drives Urban and Economic Growth in Ghana and Tanzania.
She is the author (with Ben Page, UCL; and Martin Evans, University of Chester) of Development and the African diaspora: place and the politics of home, published by Zed Books.
Claire is a member of the Editorial Board of International Journal of Urban and Regional Research, the International Advisory Board of Antipode, the Advisory Board of Critical African Studies, a Contributing Editor to Review of African Political Economy, and an Editorial Board Member of the Development Geography Section for Geography COMPASS.","Human Geography",NA,FALSE,"Professor",FALSE,FALSE,TRUE
"academic-staff","Department of Geography and Environment","Professor Susana  Mourato","Professor of Environmental Economics; Vice President and Pro-Vice Chancellor (Research)","Susana is Professor of Environmental Economics, former Academic Director of LSE Summer School, and Associate of the Grantham Research Institute on Climate Change and the Environment. She joined the Department of Geography and Environment in 2008, where she was Head of Department from 2017-2020, having previously worked at Imperial College London. In 2021, Susana became the Vice President and Pro-Vice Chancellor (Research).
Much of Susana’s research has been in the area of social value measurement, testing and applying economic valuation techniques to a wide range of environmental, health and social impacts related to ecosystem services, wildlife conservation, air and water pollution, chemicals, climate change, low carbon technologies, and cultural heritage. She has also undertaken research on the links between subjective well-being and the environment, and more recently on using insights from behavioural economics to promote sustainable behaviours.
Susana has over 100 scientific publications, including papers in leading journals of her field (Journal of Environmental Economics & Management, Environmental & Resource Economics, Ecological Economics, Environment & Development Economics, Global Environmental Change, World Development, Environment & Planning A, Urban Studies, Energy Policy) and 4 books, including a flagship OECD book on Cost Benefit Analysis and the Environment. She has many years of experience in research, advice and policy work for research councils, government, industry, charities and international organisations.
Susana currently leads a project for the OECD evaluating the impact of chemicals on IQ, as well as projects for LSE Middle East Centre estimating preferences for climate change policies in the Gulf Region, and for water conservation in Kuwait. She sits on the Culture & Heritage Capital Advisory Board, of the UK Department for Digital, Culture, Media & Sport.","Environmental Economics"," Vice President and Pro-Vice Chancellor (Research)",FALSE,"Professor",TRUE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Professor Henry Overman","Professor of Economic Geography","Henry Overman, BSc. (Bristol), MSc. (LSE), PhD. (LSE) is Professor of Economic Geography in the Department of Geography and Environment at the London School of Economics. He is also the Research Director of the Centre for Economic Performance and the director of the What Works Centre for Local Economic Growth.
From April 2008 to September 2013 he directed the Spatial Economics Research Centre.
His current research interests include the causes and consequences of spatial disparities and the impact of urban and regional policy. His research has been published in leading economics journals (The American Economic Review, The Review of Economics Studies and The Quarterly Journal of Economics) and leading economic geography journals (Environment and Planning and Journal of Economic Geography). He continues to publish in journals from both disciplines.
He has provided policy advice to, amongst others, the European Commission, Department for International Development, Department for Business, Energy and Industrial Strategy, Department for Levelling Up, Housing and Communities, HS2 and the Department for Transport, HM Treasury, the Manchester Independent Economic Review, the North East Independent Economic Review and Cambridgeshire County Council. He is also affiliated with the Centre for Economic Policy Research.
Watch the video and download the podcast of his public lecture: Local Economic Growth: do we know (or care) what works?
View Professor Overman's CV.","Economic Geography",NA,FALSE,"Professor",FALSE,TRUE,FALSE
"academic-staff","Department of Geography and Environment","Dr Erica Pani","Assistant Professor (Education) of Local Economic Development and Planning ","Erica is Director of the MSc Local Economic Development. She graduated with a PhD in Economic Geography from Queen Mary, University of London in 2016. She joined the Department of Geography and Environment at the LSE in September 2019, after gaining experience at the LSE, Queen Mary University of London, and Newcastle University.
In her research, Erica adopts a heterodox approach to economic geography and urban planning. Her primary goal is to uncover and apply new theoretical, conceptual, and political frameworks that pave the way for equitable economic systems. By critically examining the dynamic interplay between economic practices and societal needs, Erica's work seeks to challenge and redefine traditional notions of value and economic structures. Her distinctive approach emphasizes the significance of recognizing diverse values and the impact they have on shaping our communities and environments. Through this lens, she explores the potential for creating more inclusive and socially just urban spaces.
Erica’s teaching philosophy is rooted in the belief that education should be interactive and transformative. Her aim is to inspire students to think critically and reflectively, motivating them to question and expand their understandings of themselves and the world around them. With a focus on economic geography, research methods, local economic development, and planning, she employs a variety of engaging tools and activities to ensure a dynamic and enriching learning environment.
Research areas:
A Value Approach to Political Economy:Adapting and reposing Roger Lee’s work on the Ordinary Economy, Erica’s PhD explored how processes of neoliberalization necessarily emerge in-and-through existing multiple and complex socio-spatial relations. Focusing on the marketisation of Higher Education in England, her PhD won the Royal Geographic Society Best PhD in the UK Economic Geography Research Group, 2016.
A Value Approach to Planning:Collaborating with colleagues from the Regional and Urban Planning Studies Programme (RUPS) at the LSE, this work suggests that planning is entrenched in values and practices of value due to its fundamental role in planning for diverse material and social forms of society-economy.
Land Tenure Regularisation in Dar es Salaam:
This collaborative work with colleagues from RUPS and Economic Geography explores informal and formal institutions of land tenure security in Dar es Salaam. Every year, around 6 million people, world-wide, settle in slums. Thus, land tenure formalisation represents an increasingly urgent structural challenge to sustainable urban development and poverty reduction - particularly in developing contexts. As a rapidly growing city in Tanzania, Dar es Salaam presents an interesting and important case for exploring and theorising how embedded informal institutions affect structural change and inclusive economic growth in a Global South context.","Local Economic Development and Planning",NA,TRUE,"Assistant Professor",FALSE,TRUE,TRUE
"academic-staff","Department of Geography and Environment","Dr Kasia Paprocki","Associate Professor in Environment","Kasia Paprocki is an Associate Professor in the Department of Geography and Environment at the London School of Economics and Political Science. Her work draws on and contributes to the study of the political ecology of development and agrarian change with a focus on South Asia and specifically Bangladesh, where she has worked and conducted research for over 15 years.
Kasia holds a PhD and MSc in Development Sociology from Cornell University and a bachelor’s degree from Hampshire College.
Kasia’s first book, Threatening Dystopias: The Global Politics of Climate Change Adaptation in Bangladesh (2021, Cornell University Press), investigates the politics of climate change adaptation in Bangladesh from multiple perspectives and scales, offering an in-depth analysis of the global politics of climate change adaptation and how they are both forged and manifested in this unique site. Frequently described as the ‘world’s most vulnerable country to climate change’, the oversimplified specter of a major country slipping underwater has yielded a crisis narrative that erases a complex history of landscape transformation and intense, contemporary political conflicts. Colonialism, capitalism, and local agrarian struggles have so far shaped the country’s coastline more than carbon emissions. Today, both national and global elites ignore this history, while crafting narratives and economic strategies that redistribute power and resources away from peasant communities in the name of climate adaptation.
The book draws on over two years of multi-sited ethnographic and archival fieldwork with development practitioners, policy makers, scientists, farmers and rural migrants, to investigate the politics of climate change adaptation in Bangladesh from multiple perspectives and scales, offering an in-depth analysis of the global politics of climate change adaptation and how they are both forged and manifested in this unique site.
Her writing has been published in both academic and popular outlets and her research has been supported by the United States National Science Foundation, the Fulbright Program, and the Social Science Research Council.
At LSE, Kasia co-organises the Social Life of Climate Change seminar series, is an affiliate at the Grantham Research Institute on Climate Change and the Environment, and directs the MSc in Environment and Development. In 2021 she was awarded an LSE Excellence in Education Prize.","Environment",NA,FALSE,"Associate Professor",TRUE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Dr Richard  Perkins","Associate Professor of Environmental Geography","Dr Richard Perkins is Associate Professor in the Department of Geography and Environment and an Associate of the Grantham Research Institute for Climate Change and the Environment. Richard’s research interests focus on the governance of climate and environmental change by both public and private actors. His most recent work is concerned with interrogating sustainable/green finance.
He is Programme Director of the MSc Environmental Policy and Regulation.
Richard holds a PhD in Geography from the University of Cambridge.
 
 ","Environmental Geography",NA,FALSE,"Associate Professor",TRUE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Dr Giorgio  Pietrabissa","Assistant Professor of Real Estate Economics and Finance","I am an Assistant Professor at the LSE Department of Geography and Environment. I received my PhD from CEMFI in 2024, and I previously studied at Bocconi University.
I am an economist with research interests in urban, international and public economics, with a specific focus on issues related to inequality. In my research, I use quantitative empirical tools from IO and trade, to understand how public policies affect the functioning of markets across space and shape spatial inequalities.","Real Estate Economics and Finance",NA,FALSE,"Assistant Professor",FALSE,TRUE,FALSE
"academic-staff","Department of Geography and Environment","Professor Laura  Pulido ","Centennial Professor","Laura Pulido is the Collins Chair and Professor of Indigenous, Race, and Ethnic Studies and Geography at the University of Oregon where she studies race, environmental justice, and cultural memory. Prior to moving to Oregon she taught at the University of Southern California for over 20 years. She has published six books, including Environmentalism and Economic Justice: Two Chicano Struggles in the Southwest (University of Arizona, 1996); Black, Brown, Yellow and Left: Radical Activism in Los Angeles (University of California, 2006); A People’s Guide to Los Angeles (with Laura Barraclough and Wendy Cheng) (University of California, 2012), and most recently she worked with Jordan Camp to posthumously complete Clyde Woods’s, Development Drowned and Reborn: The Blues and Bourbon Restoration in Post-Katrina New Orleans (University of Georgia, 2017). She has received numerous honors, including the Cullum Geographical Medal from the American Geographical Society, the Presidential Achievement Award from the Association of American Geographers, as well as Ford and Guggenheim fellowships. Her current work on landscapes of historical commemoration is funded by the National Science Foundation.
Most of her research explores the relationship between race, place, and social and environmental processes. She has devoted much of her career to studying environmental racism, especially how racism is conceptualized and operationalized in the scholarship and practice of environmental justice. Most recently, she has been studying how white supremacy and white nationalism impact climate denial and refusal. She is a co-organizer of the Just Futures Institute at the University of Oregon, funded by the Andrew Mellon Foundation, which focuses on racial and environmental justice in the U.S. Pacific Northwest. In addition to her work on environmental justice, she has been studying the role of cultural memory in the U.S. white nation. Currently she is working with the InfoGraphics Lab at the University of Oregon to produce a thematic atlas entitled, Monumental Denial: U.S. Cultural Memory and White Innocence.
As part of her scholarship, Laura is deeply committed to public scholarship and popular education. Her book, A People’s Guide to Los Angeles, a radical tour guide that documents sites of racial, class, gender, and environmental struggle in the history and landscape of Los Angeles, is now a book series (University of California Press) which she co-edits it with Laura Barraclough and Wendy Cheng.
Awards
Distinguished Scholarship Honors; Harold Rose Anti-Racism Award; Presidential Achievement Award; Globe Book Award for Public Understanding of Geography; Meridian Book Award for Outstanding Scholarly Book in Geography, American Association of Geographers; Cullum Geographical Medal, American Geographical Society; Guggenheim Fellowship.",NA,NA,FALSE,"Professor",TRUE,FALSE,TRUE
"academic-staff","Department of Geography and Environment","Professor Elizabeth  J Z Robinson","Professor of Environmental Economics and Acting Dean of the Global School of Sustainability","Liz Robinson is currently Acting Dean of the LSE’s new Global School of Sustainability, seconded from her role as Director of the Grantham Research Institute on Climate Change and the Environment. She is an environmental economist, working primarily on climate change and health, with a focus on food security and undernutrition in a changing climate, and heat and worker rights. She was on the UK Defra Economic Advisory Panel for five years; was Specialist Advisor to the UK House of Lords Select Committee on Food, Poverty, Health, and Environment; working group one lead for the Lancet Countdown on Health and Climate Change from 2016 to 2024; and is currently Chair of the Economics Advisory Group for CCRA4 for the UK’s Climate Change Committee; and on the Scientific Committee of the Regenerative Society Foundation.
Liz previously worked at the University of Reading, the University of Oxford as a Lecturer in the economics department and Tutorial Fellow at St Hugh's College, the Boston Consulting Group, the World Bank, Rockefeller Foundation, and the Natural Resources Institute at the University of Greenwich. She has a first class degree in Engineering, Economics, and Management from Oxford University, and a PhD in Applied Economics from Stanford University.
Liz works as an applied economist undertaking policy-relevant research at the nexus of climate, health, and the environment, mainly around how climate change is affecting food security and nutrition, and worker health. Much of her work is in low and middle-income countries, where she has spent considerable time living and undertaking research.
Awards
American Agricultural Economics Association Outstanding Ph.D. Dissertation Honourable Mention (second best Agricultural Economics PhD in the US, 1997).
Maurice Lubbock Prize, awarded to top student in Engineering, Economics, and Management (EEM) at University of Oxford, 1990; Deloitte Prize for Economics, EEM (shared), 1990; Institute of Production Engineers/Unipart Industries Prize, EEM, 1990.","Environmental Economics","Dean of the Global School of Sustainability",FALSE,"Professor",TRUE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Professor Andrés  Rodríguez-Pose","Princesa de Asturias Chair and Professor of Economic Geography","Andrés Rodríguez-Pose is the Princesa de Asturias Chair and a Professor of Economic Geography at the London School of Economics. He is the Director of the Cañada Blanch Centre LSE and was Head of the Department of Geography and Environment. He chairs the High-Level Group on the future of Cohesion policy. This group is tasked with proposing the new Cohesion Policy for the European Union (EU) post 2027.
He has been President of the Regional Science Association International (RSAI) and served as its Vice-President. He was also Vice-President and Secretary of the European Regional Science Association.
He has a long track record of research in regional growth and inequality, fiscal and political decentralization, institutions, discontent and populism, innovation, migration, and development policies and strategies. This research has been frequently used by policy- and decision-makers, acting regularly as advisor to international organizations and governments.
His research is widely cited in academic circles, making him one of the world's most influential scholars. In the 2023 Stanford/Elsevier list of the 2% most cited scientists (which identifies close to 200,000 researchers across all areas of science), he was among the top 1,000 researchers in the world across all academic disciplines. He was ranked first worldwide in the field of urban and regional planning by scholarly citations both in in 2023 and 2021. He also appears on Clarivate's Web of Science 2020, 2001, 2022, and 2023 lists of Highly Cited Researchers.
Among his honours is the 2018 ERSA Prize in Regional Science, considered to be the highest award in the field. He has been a holder of a European Research Council (ERC) Advanced Grant and of a prestigious Royal Society-Wolfson Research Merit Award. Other past academic prizes include a Leverhulme Trust Major Research Fellowship, a Philip Leverhulme Prize, and the Royal Geographical Society Gill Memorial Award.
He holds Honorary Doctorates from Utrecht University (the Netherlands) and Jönköping University (Sweden).
He is an editor of Economic Geography, and sits on the editorial board of 45 other scholarly journals, including many of the leading international journals in economic geography, human geography, regional science, and management. Between 1999 and 2016 he was editor of Environment and Planning C, acting as joint chief editor from 2008 onwards. He was also editor-in-chief of the Journal of Geographical Systems between 2019 and 2021.","Economic Geography",NA,FALSE,"Professor",FALSE,TRUE,FALSE
"academic-staff","Department of Geography and Environment","Dr Sefi  Roth","Associate Professor of Environmental Economics","Sefi Roth is an Associate Professor of Environmental Economics in the Department of Geography and Environment at LSE. He is also the founder and co-leader of the Economics of Air Pollution (EAP) research group at the Grantham Research Institute on Climate Change and the Environment and a Research Affiliate at IZA. His research mainly concentrates on the economics of air pollution, exploring the impacts of ambient and indoor air pollution on health, human capital, crime, the housing market, and the economy more broadly. Sefi holds a Ph.D. in Economics from Royal Holloway, University of London. 
His teaching at LSE includes GY426 - Environmental and Resource Economics and GY222 - Applied Environmental Economics.
Outside of LSE, Sefi is a member of the UK Clean Air Programme Steering Committee and the head of the Clean Air Programme Task and Finish Group ‘A Clean Air Community’.
View Dr Roth's CV.","Environmental Economics",NA,FALSE,"Associate Professor",TRUE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Dr Romola  Sanyal","Associate Professor of Urban Geography","Dr Romola Sanyal is Associate Professor in Urban Geography at LSE. She joined the Department of Geography and Environment in 2013 having held lectureships in Planning at Newcastle University (2010-2012) and University College London at the Development Planning Unit (2012-2013). She has also held the position of inaugural Postdoctoral Fellow at the Chao Centre for Asian Studies at Rice University (2008-2009) and been a Visiting Fellow at the Open University (2009-2010). She has a PhD in Architecture from the University of California, Berkeley, an MSc in Geography from LSE and a B.A in City and Regional Planning from the University of California, Berkeley.
Romola’s research focuses on the relationship between forced migration and urbanisation. In one strand of her research, she looks at how refugees and other forced migrants become ‘city makers’ through building and inhabiting urban spaces. This work had been conducted in India and Lebanon, through the study of Palestinian refugee camps in Beirut and Partition refugee colonies in Calcutta. Here, she explored how the act of building itself was a form of politics and how it challenged efforts by humanitarian organisations and host governments to marginalize and depoliticize refugees. She continues this work by studying how refugees come to inhabit and make homes whilst being displaced and living in legally precarious circumstances.
A second strand of this work looks at the geopolitics of humanitarian knowledge production, particularly on urban refugees. Titled Urban Humanitarianism, this work looks at how humanitarian organizations come to learn from and intervene in urban areas through various experiments and what politics are involved in building and sharing that knowledge.
Romola is also involved in a third project on the sharing economy. Working together with Dr Nancy Holman, Dr Mara Ferreri and Ms Alessandra Mossa, this work looks at the effects of AirBnB on urban governance, informality and planning in cities in the Global North.
Romola’s work has appeared in a number of journals including Urban Studies, Political Geography, International Journal of Urban and Regional Research, Transactions of the Institute of British Geographers, Geoforum, Urban Geography, and Planning Theory and Practice. She is also co-editor of Urbanizing Citizenship: Contested Spaces in Indian Cities (with Dr Renu Desai, Sage Publishers, India) and Displacement: Global Conversations on Refuge (with Dr Silvia Pasquetti, Manchester University Press).She has held fellowships and received awards from a number of different organisations including the Spiro Kostof Fellowship, Eva Li Fellowship (UC Berkeley), Foreign Language and Area Studies Fellowship (for Arabic), the Al Falah Program, the Social Science Research Council, and The Suntory and Toyota International Centres for Economics and Related Disciplines (STICERD), the Academic Collaboration with Arab Universities Programme grant through the Emirates Foundation and the LSE Middle East Centre, and the Atlantic Equity Challenge award from the Institute of Inequalities at the LSE. She has also twice been the recipient of Excellence in Education Awards from the LSE. She sits on the Faculty Advisory Committee for the LSE South Asia Centre, and the editorial collective for the journal City analysis of urban trends, culture, theory, policy, action.
Romola grew up in Calcutta, India and the San Francisco Bay Area.
Romola is Director of the BA Geography programme.","Urban Geography",NA,FALSE,"Associate Professor",FALSE,FALSE,TRUE
"academic-staff","Department of Geography and Environment","Professor Shin, Hyun Bang ","Professor of Geography and Urban Studies; Head of Department","Professor Hyun Bang Shin is Professor of Geography and Urban Studies and the Head of the Department of Geography and Environment at the London School of Economics and Political Science.
Professor Shin is an internationally recognised scholar in urban studies whose research has profoundly influenced critical urban theory and practice, particularly in non-Western contexts. By challenging conventional perspectives and entrenched paradigms, he has contributed to reshaping the understanding of contemporary urban transformation, foregrounding the socio-political dynamics of cities in rapidly developing world regions and highlighting the intersections of state power, global capital, and urban inequality.
Spanning four core themes—gentrification, urban political economy, urban struggles, and the circulation of urbanism— Professor Shin’s scholarly contributions provide critical insights into the processes and impacts of urban transformation (see his Research web site for more details on these themes). His widely cited publications, including Planetary Gentrification and Global Gentrifications: Uneven Development and Displacement, have become essential readings for academics and practitioners alike. These works, along with his five other books (see below) and numerous journal articles, book chapters, and public writings, exemplify his dedication to addressing pressing urban challenges, advancing critical urban scholarship, and advocating for social justice in the context of the rapid urbanisation of the global South and the global East.
In addition to his influential research, Professor Shin has held pivotal roles in advancing urban studies. As Director of the Saw Swee Hock Southeast Asia Centre at LSE (2018–2023), he established it as a global hub for interdisciplinary scholarship. His tenure as editor of the International Journal of Urban and Regional Research (2021–2024) saw the publication of critical studies that expanded the field’s boundaries. As a trustee of the Urban Studies Foundation (2016–2023), he championed research funding and mentorship for emerging scholars worldwide. Since 2009, he has co-organised The Urban Salon, fostering vibrant discussions on architecture, cities, and international urbanism.
To view more details, please visit Prof Shin’s personal website.
View Hyun’s CV here.
Follow Hyun on Bluesky
View Google Scholar","Geography and Urban Studies"," Head of Department",FALSE,"Professor",FALSE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Dr Thomas  Smith","Associate Professor in Environmental Geography","Tom is Associate Professor in Environmental Geography at the LSE. He teaches on a number of environmental courses, focussing on innovative technology-enhanced experiential learning and field-based education in geography.
He joined the Department in 2018, having previously been a Lecturer at King’s College London. He holds a PhD in Physical Geography from King’s College London and has held Visiting Fellow posts at the National University of Singapore, Monash University Malaysia, University of Wollongong (Australia), and Universiti Brunei Darussalam.
Tom is a geographer and environmental scientist, specialising in interdisciplinary approaches to understanding the role of biomass burning in the Earth system. Tom enjoys highly collaborative research focusing on greenhouse gas and reactive emissions from wildland fires in savannas and tropical peatlands. He is particularly interested in complex interactions between agricultural practices, land degradation, fire emissions characteristics and their associated impacts. Expertise include infrared and VNIR spectroscopy, tropical environmental change, wildfire spread modelling, knowledge exchange, and land management decision support.
View Dr Thomas Smith’s CV
Thomas was Highly Commended for Research Guidance & Support at the LSESU Student-led Teaching Excellence Awards 2019.","Environmental Geography",NA,FALSE,"Associate Professor",FALSE,FALSE,FALSE
"academic-staff","Department of Geography and Environment","Dr Jessie Speer","Assistant Professor in Human Geography","Jessie Speer joined the Department of Geography and Environment as Assistant Professor in 2020. Her research examines struggles over urban and domestic space at the margins of housed society. She engages political economic, feminist, and postcolonial approaches to urban displacement to examine how unhoused people contest normative domesticity and capitalist housing markets.
Her current book project, based on in-depth ethnographic and archival research, examines the demolition of homeless encampments in the United States as part of a larger attack on urban informality. Other projects include literary and historical analysis of memoirs and oral histories of homelessness, legal anlaysis of the nexus between migration and housing displacement in the United Kingdom, and the development of activist community archives.
Jessie formerly practiced law in California, working at legal aid clinics assisting people experiencing domestic violence and eviction. She holds a PhD in Geography from Syracuse University and has received fellowships and awards from the Mellon Foundation, American Council of Learned Societies, British Academy, and Antipode Foundation.","Human Geography",NA,FALSE,"Assistant Professor",FALSE,FALSE,TRUE
"academic-staff","Department of Geography and Environment","Professor Michael  Storper","Professor of Economic Geography","Michael joined the Department in October 2000 as LSE Centennial Professor of Economic Geography. He is also affiliated with the Centre de Sociologie des Organisations at Sciences-Po in Paris, and the Department of Urban Planning in the School of Public Affairs at UCLA.
Professor Storper is a Corresponding Fellow of the British Academy, and has received the Regional Studies Association's Sir Peter Hall Prize for overall contribution to the field.
He is an internationally recognised scholar and author, particularly well known for his books which include The Capitalist Imperative: Territory, Technology and Industrial Growth (with R. Walker; Blackwell, 1989), Pathways to Industrialization and Regional Development (with A. Scott; Routledge, 1992), Worlds of Production: The Action Frameworks of the Economy (with Robert Salais, Harvard Univ. Press, 1997), The Regional World: Territorial Development in a Global Economy (Guildford Press, 1997), and Latecomers in the Global Economy (editor with L. Tsipouri and S. Thmodakis; Routledge, 1998).
His latest books are The Rise and Fall of Urban Economies (Stanford University Press, 2015), and Keys to the City: How Economics, Institutions, Social Interaction,and Politics Shape Development (Princeton University Press, 2013).
In 2016 Michael received the Founder’s Medal for scholarship and leadership in human and economic geography from the Royal Geographical Society (with IBG).
In 2017 he was awarded the Distinguished Scholarship Honors by the American Association of Geographers for his outstanding record of scholarly achievement and innovative contributions to the fields of global economic development and the geography of urban and regional systems. ","Economic Geography",NA,FALSE,"Professor",FALSE,TRUE,FALSE
"academic-staff","Department of Geography and Environment","Dr Ana  Varela Varela","Assistant Professor in Geographic Data Science","Ana joined the Department of Geography and Environment at the London School of Economics as an Assistant Professor in 2023. Her research broadly explores the spatial interactions between environmental and urban systems, using frameworks and tools from applied microeconomics, data science, and remote sensing.
Prior to joining LSE, Ana was an Assistant Professor at the Amsterdam School of Economics and an Economics Fellow (postdoc) at the Institute for Policy Integrity at New York University, where she remains an Affiliated Scholar.
Ana completed a PhD in Sustainable Development at Columbia University, specialising in environmental and urban economics. She also holds a Master in City Planning from the University of California, Berkeley, as well as degrees in Environmental Studies from Imperial College London, and in Civil Engineering from the University of A Coruña, Spain. She has several years of experience as a consultant in sustainable infrastructure and urban planning projects.","Geographic Data Science",NA,FALSE,"Assistant Professor",FALSE,TRUE,FALSE
